 Ó‰,ÔªøProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount
33,385,20190104,20190116,20190111,13992,SO46732,1000.4375
34,375,20190104,20190116,20190111,24781,SO46733,2181.5625
35,375,20190104,20190116,20190111,13060,SO46734,2181.5625
36,371,20190104,20190116,20190111,13226,SO46735,2181.5625
37,360,20190104,20190116,20190111,12341,SO46736,2049.0982
38,354,20190104,20190116,20190111,12346,SO46737,2071.4196
39,362,20190104,20190116,20190111,12576,SO46738,2049.0982
40,373,20190105,20190117,20190112,15699,SO46739,2181.5625
41,379,20190105,20190117,20190112,12980,SO46740,2181.5625
42,370,20190105,20190117,20190112,28766,SO46741,2443.35
43,358,20190105,20190117,20190112,20206,SO46742,2049.0982
44,373,20190105,20190117,20190112,21183,SO46743,2181.5625
45,370,20190105,20190117,20190112,21199,SO46744,2443.35
46,369,20190106,20190118,20190113,13056,SO46745,2443.35
47,368,20190106,20190118,20190113,13057,SO46746,2443.35
48,360,20190106,20190118,20190113,26127,SO46747,2049.0982
49,360,20190106,20190118,20190113,26252,SO46748,2049.0982
50,354,20190106,20190118,20190113,12350,SO46749,2071.4196
51,377,20190107,20190119,20190114,16054,SO46750,2181.5625
52,377,20190107,20190119,20190114,12934,SO46751,2181.5625
53,343,20190107,20190119,20190114,19931,SO46752,782.99
54,379,20190107,20190119,20190114,21215,SO46753,2181.5625
55,321,20190107,20190119,20190114,25958,SO46754,782.99
56,343,20190107,20190119,20190114,26023,SO46755,782.99
57,383,20190107,20190119,20190114,13993,SO46756,1000.4375
58,354,20190108,20190120,20190115,26174,SO46757,2071.4196
59,387,20190108,20190120,20190115,18130,SO46758,1000.4375
60,373,20190108,20190120,20190115,16033,SO46759,2181.5625
61,387,20190108,20190120,20190115,13986,SO46760,1000.4375
62,325,20190108,20190120,20190115,19924,SO46761,782.99
63,368,20190108,20190120,20190115,13063,SO46762,2443.35
64,375,20190108,20190120,20190115,13202,SO46763,2181.5625
65,360,20190108,20190120,20190115,26238,SO46764,2049.0982
66,333,20190108,20190120,20190115,15191,SO46765,782.99
67,369,20190108,20190120,20190115,21216,SO46766,2443.35
68,362,20190108,20190120,20190115,12573,SO46767,2049.0982
69,339,20190108,20190120,20190115,26020,SO46768,782.99
70,377,20190109,20190121,20190116,15702,SO46769,2181.5625
71,370,20190109,20190121,20190116,15357,SO46770,2443.35
72,377,20190109,20190121,20190116,13068,SO46771,2181.5625
73,375,20190109,20190121,20190116,13161,SO46772,2181.5625
74,371,20190109,20190121,20190116,13173,SO46773,2181.5625
75,375,20190109,20190121,20190116,13225,SO46774,2181.5625
76,352,20190109,20190121,20190116,26249,SO46775,2071.4196
77,360,20190109,20190121,20190116,12356,SO46776,2049.0982
78,356,20190110,20190122,20190117,11568,SO46777,2071.4196
79,352,20190110,20190122,20190117,11610,SO46778,2071.4196
80,377,20190110,20190122,20190117,15929,SO46779,2181.5625
81,379,20190110,20190122,20190117,12942,SO46780,2181.5625
82,379,20190110,20190122,20190117,12949,SO46781,2181.5625
83,371,20190110,20190122,20190117,12975,SO46782,2181.5625
84,337,20190110,20190122,20190117,19069,SO46783,782.99
85,375,20190110,20190122,20190117,13178,SO46784,2181.5625
86,373,20190110,20190122,20190117,13190,SO46785,2181.5625
87,354,20190110,20190122,20190117,26201,SO46786,2071.4196
88,333,20190110,20190122,20190117,15195,SO46787,782.99
89,358,20190110,20190122,20190117,12342,SO46788,2049.0982
90,358,20190111,20190123,20190118,28506,SO46789,2049.0982
91,379,20190111,20190123,20190118,12930,SO46790,2181.5625
92,369,20190111,20190123,20190118,13016,SO46791,2443.35
93,373,20190111,20190123,20190118,13083,SO46792,2181.5625
94,375,20190111,20190123,20190118,13214,SO46793,2181.5625
95,373,20190111,20190123,20190118,24977,SO46794,2181.5625
96,362,20190111,20190123,20190118,26234,SO46795,2049.0982
97,360,20190111,20190123,20190118,26247,SO46796,2049.0982
98,371,20190111,20190123,20190118,21197,SO46797,2181.5625
99,368,20190111,20190123,20190118,21201,SO46798,2443.35
100,371,20190112,20190124,20190119,13662,SO46799,2181.5625
101,370,20190112,20190124,20190119,13019,SO46800,2443.35
102,368,20190112,20190124,20190119,25094,SO46801,2443.35
103,337,20190112,20190124,20190119,15188,SO46802,782.99
104,379,20190113,20190125,20190120,13595,SO46803,2181.5625
105,323,20190113,20190125,20190120,19052,SO46804,782.99
106,373,20190113,20190125,20190120,13055,SO46805,2181.5625
107,370,20190113,20190125,20190120,21195,SO46806,2443.35
108,354,20190113,20190125,20190120,12339,SO46807,2071.4196
109,360,20190113,20190125,20190120,12347,SO46808,2049.0982
110,371,20190114,20190126,20190121,13766,SO46809,2181.5625
111,370,20190114,20190126,20190121,15622,SO46810,2443.35
112,369,20190114,20190126,20190121,12941,SO46811,2443.35
113,371,20190114,20190126,20190121,13069,SO46812,2181.5625
114,379,20190114,20190126,20190121,13152,SO46813,2181.5625
115,371,20190114,20190126,20190121,13165,SO46814,2181.5625
116,375,20190114,20190126,20190121,25093,SO46815,2181.5625
117,370,20190114,20190126,20190121,13230,SO46816,2443.35
118,356,20190114,20190126,20190121,26121,SO46817,2071.4196
119,369,20190114,20190126,20190121,21211,SO46818,2443.35
120,368,20190114,20190126,20190121,21001,SO46819,2443.35
121,352,20190115,20190127,20190122,28510,SO46820,2071.4196
122,377,20190115,20190127,20190122,24824,SO46821,2181.5625
123,325,20190115,20190127,20190122,15155,SO46822,782.99
124,323,20190115,20190127,20190122,15193,SO46823,782.99
125,385,20190115,20190127,20190122,24608,SO46824,1000.4375
126,354,20190115,20190127,20190122,12574,SO46825,2071.4196
127,360,20190115,20190127,20190122,12575,SO46826,2049.0982
128,373,20190116,20190128,20190123,13799,SO46827,2181.5625
129,385,20190116,20190128,20190123,13990,SO46828,1000.4375
130,369,20190116,20190128,20190123,24786,SO46829,2443.35
131,337,20190116,20190128,20190123,19910,SO46830,782.99
132,369,20190116,20190128,20190123,13066,SO46831,2443.35
133,352,20190116,20190128,20190123,20188,SO46832,2071.4196
134,354,20190116,20190128,20190123,12360,SO46833,2071.4196
135,379,20190116,20190128,20190123,12923,SO46834,2181.5625
136,371,20190117,20190129,20190124,13768,SO46835,2181.5625
137,377,20190117,20190129,20190124,13769,SO46836,2181.5625
138,381,20190117,20190129,20190124,14003,SO46837,1000.4375
139,375,20190117,20190129,20190124,12922,SO46838,2181.5625
140,375,20190117,20190129,20190124,24817,SO46839,2181.5625
141,369,20190117,20190129,20190124,13058,SO46840,2443.35
142,371,20190117,20190129,20190124,13174,SO46841,2181.5625
143,321,20190117,20190129,20190124,15166,SO46842,782.99
144,375,20190117,20190129,20190124,21168,SO46843,2181.5625
145,358,20190117,20190129,20190124,12343,SO46844,2049.0982
146,358,20190118,20190130,20190125,11603,SO46845,2049.0982
147,373,20190118,20190130,20190125,13575,SO46846,2181.5625
148,371,20190118,20190130,20190125,13793,SO46847,2181.5625
149,371,20190118,20190130,20190125,16201,SO46848,2181.5625
150,370,20190118,20190130,20190125,24960,SO46849,2443.35
151,370,20190118,20190130,20190125,13221,SO46850,2443.35
152,360,20190118,20190130,20190125,20209,SO46851,2049.0982
153,333,20190118,20190130,20190125,15194,SO46852,782.99
154,368,20190118,20190130,20190125,21192,SO46853,2443.35
155,375,20190118,20190130,20190125,20997,SO46854,2181.5625
156,379,20190119,20190131,20190126,15117,SO46855,2181.5625
157,370,20190119,20190131,20190126,12935,SO46856,2443.35
158,371,20190119,20190131,20190126,13064,SO46857,2181.5625
159,370,20190119,20190131,20190126,13067,SO46858,2443.35
160,370,20190119,20190131,20190126,13205,SO46859,2443.35
161,371,20190119,20190131,20190126,21180,SO46860,2181.5625
162,377,20190119,20190131,20190126,21214,SO46861,2181.5625
163,362,20190120,20190201,20190127,11550,SO46862,2049.0982
164,362,20190120,20190201,20190127,11575,SO46863,2049.0982
165,373,20190120,20190201,20190127,16045,SO46864,2181.5625
166,375,20190120,20190201,20190127,15456,SO46865,2181.5625
167,369,20190120,20190201,20190127,12981,SO46866,2443.35
168,377,20190120,20190201,20190127,13029,SO46867,2181.5625
169,369,20190120,20190201,20190127,13189,SO46868,2443.35
170,379,20190121,20190202,20190128,13577,SO46869,2181.5625
171,368,20190121,20190202,20190128,13605,SO46870,2443.35
172,370,20190121,20190202,20190128,13800,SO46871,2443.35
173,385,20190121,20190202,20190128,19186,SO46872,1000.4375
174,377,20190121,20190202,20190128,21167,SO46873,2181.5625
175,381,20190121,20190202,20190128,24606,SO46874,1000.4375
176,362,20190122,20190203,20190129,11470,SO46875,2049.0982
177,375,20190122,20190203,20190129,15084,SO46876,2181.5625
178,370,20190122,20190203,20190129,12926,SO46877,2443.35
179,369,20190122,20190203,20190129,25061,SO46878,2443.35
180,379,20190122,20190203,20190129,13224,SO46879,2181.5625
181,335,20190122,20190203,20190129,15167,SO46880,782.99
182,354,20190122,20190203,20190129,12572,SO46881,2071.4196
183,343,20190122,20190203,20190129,25960,SO46882,782.99
184,352,20190122,20190203,20190129,26241,SO46883,2071.4196
185,368,20190123,20190204,20190130,13565,SO46884,2443.35
186,373,20190123,20190204,20190130,15933,SO46885,2181.5625
187,377,20190123,20190204,20190130,28669,SO46886,2181.5625
188,362,20190123,20190204,20190130,12340,SO46887,2049.0982
189,325,20190123,20190204,20190130,26021,SO46888,782.99
190,383,20190124,20190205,20190131,19173,SO46889,1000.4375
191,368,20190124,20190205,20190131,12921,SO46890,2443.35
192,325,20190124,20190205,20190131,20592,SO46891,782.99
193,370,20190124,20190205,20190131,13086,SO46892,2443.35
194,369,20190124,20190205,20190131,28659,SO46893,2443.35
195,356,20190124,20190205,20190131,26120,SO46894,2071.4196
196,354,20190124,20190205,20190131,26183,SO46895,2071.4196
197,333,20190124,20190205,20190131,15189,SO46896,782.99
198,368,20190124,20190205,20190131,21179,SO46897,2443.35
199,369,20190124,20190205,20190131,21205,SO46898,2443.35
200,381,20190125,20190206,20190201,13999,SO46899,1000.4375
201,375,20190125,20190206,20190201,21194,SO46900,2181.5625
202,375,20190125,20190206,20190201,21203,SO46901,2181.5625
203,375,20190125,20190206,20190201,21000,SO46902,2181.5625
204,354,20190125,20190206,20190201,12353,SO46903,2071.4196
205,387,20190126,20190207,20190202,17080,SO46904,1000.4375
206,375,20190126,20190207,20190202,16053,SO46905,2181.5625
207,368,20190126,20190207,20190202,12950,SO46906,2443.35
208,368,20190126,20190207,20190202,13087,SO46907,2443.35
209,370,20190126,20190207,20190202,21189,SO46908,2443.35
210,379,20190126,20190207,20190202,20998,SO46909,2181.5625
211,331,20190127,20190208,20190203,20710,SO46910,782.99
212,377,20190127,20190208,20190203,24832,SO46911,2181.5625
213,377,20190127,20190208,20190203,13177,SO46912,2181.5625
214,375,20190127,20190208,20190203,13212,SO46913,2181.5625
215,356,20190127,20190208,20190203,26245,SO46914,2071.4196
216,362,20190127,20190208,20190203,26276,SO46915,2049.0982
217,329,20190127,20190208,20190203,15196,SO46916,782.99
218,371,20190127,20190208,20190203,21202,SO46917,2181.5625
219,343,20190127,20190208,20190203,26022,SO46918,782.99
220,362,20190127,20190208,20190203,11481,SO46919,2049.0982
221,362,20190128,20190209,20190204,11609,SO46920,2049.0982
222,371,20190128,20190209,20190204,15454,SO46921,2181.5625
223,368,20190128,20190209,20190204,13088,SO46922,2443.35
224,369,20190128,20190209,20190204,13176,SO46923,2443.35
225,375,20190128,20190209,20190204,13203,SO46924,2181.5625
226,373,20190128,20190209,20190204,21165,SO46925,2181.5625
227,377,20190128,20190209,20190204,21169,SO46926,2181.5625
228,362,20190128,20190209,20190204,12348,SO46927,2049.0982
229,356,20190128,20190209,20190204,12358,SO46928,2071.4196
230,370,20190129,20190210,20190205,13246,SO47068,2443.35
231,383,20190129,20190210,20190205,14017,SO47069,1000.4375
232,387,20190129,20190210,20190205,14025,SO47070,1000.4375
233,369,20190129,20190210,20190205,15667,SO47071,2443.35
234,341,20190129,20190210,20190205,20062,SO47072,782.99
235,369,20190129,20190210,20190205,25287,SO47073,2443.35
236,362,20190129,20190210,20190205,26293,SO47074,2049.0982
237,360,20190129,20190210,20190205,12685,SO47075,2049.0982
238,362,20190129,20190210,20190205,12588,SO47076,2049.0982
239,369,20190130,20190211,20190206,16329,SO47077,2443.35
240,375,20190130,20190211,20190206,13248,SO47078,2181.5625
241,375,20190130,20190211,20190206,13359,SO47079,2181.5625
242,360,20190130,20190211,20190206,26302,SO47080,2049.0982
243,341,20190130,20190211,20190206,15203,SO47081,782.99
244,323,20190130,20190211,20190206,15254,SO47082,782.99
245,329,20190130,20190211,20190206,15288,SO47083,782.99
246,370,20190130,20190211,20190206,21561,SO47084,2443.35
247,379,20190131,20190212,20190207,16311,SO47085,2181.5625
248,373,20190131,20190212,20190207,13378,SO47086,2181.5625
249,377,20190131,20190212,20190207,13383,SO47087,2181.5625
250,369,20190131,20190212,20190207,13274,SO47088,2443.35
251,341,20190131,20190212,20190207,15284,SO47089,782.99
252,377,20190131,20190212,20190207,21394,SO47090,2181.5625
253,354,20190201,20190213,20190208,28532,SO47091,2071.4196
254,369,20190201,20190213,20190208,28802,SO47092,2443.35
255,369,20190201,20190213,20190208,13380,SO47093,2443.35
256,377,20190201,20190213,20190208,15664,SO47094,2181.5625
257,370,20190201,20190213,20190208,25095,SO47095,2443.35
258,354,20190201,20190213,20190208,26283,SO47096,2071.4196
259,370,20190201,20190213,20190208,21257,SO47097,2443.35
260,360,20190201,20190213,20190208,12667,SO47098,2049.0982
261,325,20190201,20190213,20190208,26134,SO47099,782.99
262,360,20190202,20190214,20190209,11612,SO47100,2049.0982
263,371,20190202,20190214,20190209,16260,SO47101,2181.5625
264,370,20190202,20190214,20190209,13424,SO47102,2443.35
265,368,20190202,20190214,20190209,13369,SO47103,2443.35
266,379,20190202,20190214,20190209,13279,SO47104,2181.5625
267,371,20190202,20190214,20190209,13319,SO47105,2181.5625
268,369,20190202,20190214,20190209,25361,SO47106,2443.35
269,352,20190203,20190215,20190210,11616,SO47107,2071.4196
270,369,20190203,20190215,20190210,13839,SO47108,2443.35
271,375,20190203,20190215,20190210,28819,SO47109,2181.5625
272,370,20190203,20190215,20190210,28850,SO47110,2443.35
273,369,20190203,20190215,20190210,25100,SO47111,2443.35
274,356,20190203,20190215,20190210,20318,SO47112,2071.4196
275,343,20190203,20190215,20190210,15255,SO47113,782.99
276,373,20190203,20190215,20190210,21387,SO47114,2181.5625
277,370,20190203,20190215,20190210,21393,SO47115,2443.35
278,387,20190203,20190215,20190210,24611,SO47116,1000.4375
279,354,20190203,20190215,20190210,12586,SO47117,2071.4196
280,362,20190203,20190215,20190210,28541,SO47118,2049.0982
281,368,20190204,20190216,20190211,16275,SO47119,2443.35
282,381,20190204,20190216,20190211,14006,SO47120,1000.4375
283,375,20190204,20190216,20190211,28832,SO47121,2181.5625
284,371,20190204,20190216,20190211,13362,SO47122,2181.5625
285,371,20190204,20190216,20190211,25408,SO47123,2181.5625
286,371,20190204,20190216,20190211,13384,SO47124,2181.5625
287,375,20190204,20190216,20190211,13325,SO47125,2181.5625
288,371,20190204,20190216,20190211,13326,SO47126,2181.5625
289,371,20190204,20190216,20190211,21258,SO47127,2181.5625
290,368,20190204,20190216,20190211,21556,SO47128,2443.35
291,352,20190204,20190216,20190211,12677,SO47129,2071.4196
292,375,20190205,20190217,20190212,16406,SO47130,2181.5625
293,371,20190205,20190217,20190212,13243,SO47131,2181.5625
294,375,20190205,20190217,20190212,13283,SO47132,2181.5625
295,379,20190205,20190217,20190212,13357,SO47133,2181.5625
296,354,20190205,20190217,20190212,26296,SO47134,2071.4196
297,343,20190205,20190217,20190212,27027,SO47135,782.99
298,379,20190205,20190217,20190212,21389,SO47136,2181.5625
299,371,20190205,20190217,20190212,13348,SO47137,2181.5625
300,379,20190206,20190218,20190213,16308,SO47138,2181.5625
301,375,20190206,20190218,20190213,13238,SO47139,2181.5625
302,356,20190206,20190218,20190213,26290,SO47140,2071.4196
303,371,20190206,20190218,20190213,21225,SO47141,2181.5625
304,369,20190206,20190218,20190213,21230,SO47142,2443.35
305,362,20190206,20190218,20190213,12684,SO47143,2049.0982
306,343,20190206,20190218,20190213,26033,SO47144,782.99
307,339,20190206,20190218,20190213,26131,SO47145,782.99
308,389,20190207,20190219,20190214,18133,SO47146,1000.4375
309,375,20190207,20190219,20190214,13324,SO47147,2181.5625
310,377,20190207,20190219,20190214,21259,SO47148,2181.5625
311,360,20190207,20190219,20190214,12669,SO47149,2049.0982
312,370,20190208,20190220,20190215,15625,SO47150,2443.35
313,370,20190208,20190220,20190215,25363,SO47151,2443.35
314,360,20190208,20190220,20190215,28547,SO47152,2049.0982
315,321,20190208,20190220,20190215,26024,SO47153,782.99
316,335,20190208,20190220,20190215,26133,SO47154,782.99
317,370,20190209,20190221,20190216,13801,SO47155,2443.35
318,373,20190209,20190221,20190216,28837,SO47156,2181.5625
319,369,20190209,20190221,20190216,25864,SO47157,2443.35
320,360,20190209,20190221,20190216,26280,SO47158,2049.0982
321,362,20190209,20190221,20190216,26300,SO47159,2049.0982
322,369,20190209,20190221,20190216,21403,SO47160,2443.35
323,375,20190209,20190221,20190216,21408,SO47161,2181.5625
324,371,20190209,20190221,20190216,21418,SO47162,2181.5625
325,362,20190209,20190221,20190216,12671,SO47163,2049.0982
326,360,20190210,20190222,20190217,12123,SO47164,2049.0982
327,370,20190210,20190222,20190217,15649,SO47165,2443.35
328,368,20190210,20190222,20190217,15656,SO47166,2443.35
329,375,20190210,20190222,20190217,13419,SO47167,2181.5625
330,377,20190210,20190222,20190217,13286,SO47168,2181.5625
331,352,20190210,20190222,20190217,26281,SO47169,2071.4196
332,377,20190210,20190222,20190217,21228,SO47170,2181.5625
333,373,20190210,20190222,20190217,21552,SO47171,2181.5625
334,352,20190210,20190222,20190217,12668,SO47172,2071.4196
335,356,20190210,20190222,20190217,12675,SO47173,2071.4196
336,354,20190210,20190222,20190217,12584,SO47174,2071.4196
337,368,20190210,20190222,20190217,13812,SO47175,2443.35
338,358,20190211,20190223,20190218,11492,SO47176,2049.0982
339,381,20190211,20190223,20190218,14022,SO47177,1000.4375
340,383,20190211,20190223,20190218,14026,SO47178,1000.4375
341,377,20190211,20190223,20190218,28848,SO47179,2181.5625
342,370,20190211,20190223,20190218,13287,SO47180,2443.35
343,368,20190211,20190223,20190218,13329,SO47181,2443.35
344,354,20190211,20190223,20190218,26298,SO47182,2071.4196
345,335,20190211,20190223,20190218,15200,SO47183,782.99
346,379,20190211,20190223,20190218,21380,SO47184,2181.5625
347,356,20190211,20190223,20190218,12133,SO47185,2071.4196
348,371,20190212,20190224,20190219,13806,SO47186,2181.5625
349,385,20190212,20190224,20190219,18134,SO47187,1000.4375
350,389,20190212,20190224,20190219,19253,SO47188,1000.4375
351,373,20190212,20190224,20190219,28818,SO47189,2181.5625
352,369,20190212,20190224,20190219,25892,SO47190,2443.35
353,379,20190212,20190224,20190219,13382,SO47191,2181.5625
354,371,20190212,20190224,20190219,16328,SO47192,2181.5625
355,329,20190212,20190224,20190219,20162,SO47193,782.99
356,377,20190212,20190224,20190219,13269,SO47194,2181.5625
357,371,20190212,20190224,20190219,13355,SO47195,2181.5625
358,362,20190212,20190224,20190219,26286,SO47196,2049.0982
359,377,20190212,20190224,20190219,21218,SO47197,2181.5625
360,370,20190213,20190225,20190220,14169,SO47198,2443.35
361,323,20190213,20190225,20190220,20051,SO47199,782.99
362,373,20190213,20190225,20190220,13247,SO47200,2181.5625
363,356,20190213,20190225,20190220,26277,SO47201,2071.4196
364,356,20190213,20190225,20190220,26285,SO47202,2071.4196
365,370,20190214,20190226,20190221,25883,SO47203,2443.35
366,377,20190214,20190226,20190221,25371,SO47204,2181.5625
367,352,20190214,20190226,20190221,26301,SO47205,2071.4196
368,333,20190214,20190226,20190221,15256,SO47206,782.99
369,337,20190214,20190226,20190221,27043,SO47207,782.99
370,369,20190214,20190226,20190221,21359,SO47208,2443.35
371,370,20190214,20190226,20190221,21379,SO47209,2443.35
372,389,20190214,20190226,20190221,24609,SO47210,1000.4375
373,362,20190214,20190226,20190221,12578,SO47211,2049.0982
374,360,20190214,20190226,20190221,12580,SO47212,2049.0982
375,377,20190215,20190227,20190222,16287,SO47213,2181.5625
376,389,20190215,20190227,20190222,19195,SO47214,1000.4375
377,368,20190215,20190227,20190222,28836,SO47215,2443.35
378,360,20190215,20190227,20190222,26299,SO47216,2049.0982
379,375,20190215,20190227,20190222,21222,SO47217,2181.5625
380,369,20190215,20190227,20190222,21361,SO47218,2443.35
381,362,20190215,20190227,20190222,12577,SO47219,2049.0982
382,358,20190215,20190227,20190222,12579,SO47220,2049.0982
383,370,20190216,20190228,20190223,13823,SO47221,2443.35
384,381,20190216,20190228,20190223,26316,SO47222,1000.4375
385,370,20190216,20190228,20190223,25875,SO47223,2443.35
386,369,20190216,20190228,20190223,15659,SO47224,2443.35
387,375,20190216,20190228,20190223,13277,SO47225,2181.5625
388,368,20190216,20190228,20190223,13314,SO47226,2443.35
389,375,20190216,20190228,20190223,25288,SO47227,2181.5625
390,375,20190216,20190228,20190223,13237,SO47228,2181.5625
391,358,20190216,20190228,20190223,26295,SO47229,2049.0982
392,371,20190216,20190228,20190223,21256,SO47230,2181.5625
393,362,20190216,20190228,20190223,11564,SO47231,2049.0982
394,373,20190217,20190228,20190224,15627,SO47232,2181.5625
395,379,20190217,20190228,20190224,16250,SO47233,2181.5625
396,389,20190217,20190228,20190224,19260,SO47234,1000.4375
397,375,20190217,20190228,20190224,16317,SO47235,2181.5625
398,385,20190217,20190228,20190224,14023,SO47236,1000.4375
399,368,20190217,20190228,20190224,28834,SO47237,2443.35
400,370,20190217,20190228,20190224,16405,SO47238,2443.35
401,371,20190217,20190228,20190224,21384,SO47239,2181.5625
402,381,20190217,20190228,20190224,24612,SO47240,1000.4375
403,368,20190217,20190228,20190224,21559,SO47241,2443.35
404,362,20190217,20190228,20190224,28540,SO47242,2049.0982
405,339,20190217,20190228,20190224,20712,SO47243,782.99
406,385,20190218,20190301,20190225,19193,SO47244,1000.4375
407,375,20190218,20190301,20190225,16420,SO47245,2181.5625
408,343,20190218,20190301,20190225,20713,SO47246,782.99
409,371,20190218,20190301,20190225,13292,SO47247,2181.5625
410,375,20190218,20190301,20190225,13340,SO47248,2181.5625
411,377,20190218,20190301,20190225,13346,SO47249,2181.5625
412,379,20190218,20190301,20190225,21217,SO47250,2181.5625
413,377,20190218,20190301,20190225,21226,SO47251,2181.5625
414,352,20190218,20190301,20190225,12676,SO47252,2071.4196
415,356,20190218,20190301,20190225,12683,SO47253,2071.4196
416,333,20190219,20190302,20190226,15276,SO47254,782.99
417,358,20190219,20190302,20190226,11561,SO47255,2049.0982
418,373,20190219,20190302,20190226,16417,SO47256,2181.5625
419,368,20190219,20190302,20190226,14141,SO47257,2443.35
420,377,20190219,20190302,20190226,13298,SO47258,2181.5625
421,375,20190219,20190302,20190226,13351,SO47259,2181.5625
422,375,20190219,20190302,20190226,13233,SO47260,2181.5625
423,362,20190219,20190302,20190226,26305,SO47261,2049.0982
424,379,20190219,20190302,20190226,21560,SO47262,2181.5625
425,358,20190219,20190302,20190226,12589,SO47263,2049.0982
426,368,20190220,20190303,20190227,16410,SO47264,2443.35
427,375,20190220,20190303,20190227,13250,SO47265,2181.5625
428,377,20190220,20190303,20190227,21555,SO47266,2181.5625
429,352,20190220,20190303,20190227,12674,SO47267,2071.4196
430,375,20190220,20190303,20190227,21402,SO47268,2181.5625
431,362,20190221,20190304,20190228,28512,SO47269,2049.0982
432,360,20190221,20190304,20190228,28519,SO47270,2049.0982
433,381,20190221,20190304,20190228,18140,SO47271,1000.4375
434,371,20190221,20190304,20190228,29013,SO47272,2181.5625
435,368,20190221,20190304,20190228,13420,SO47273,2443.35
436,370,20190221,20190304,20190228,16407,SO47274,2443.35
437,339,20190221,20190304,20190228,19076,SO47275,782.99
438,343,20190221,20190304,20190228,15289,SO47276,782.99
439,371,20190221,20190304,20190228,21219,SO47277,2181.5625
440,379,20190221,20190304,20190228,21404,SO47278,2181.5625
441,362,20190221,20190304,20190228,12680,SO47279,2049.0982
442,352,20190222,20190305,20190228,11615,SO47280,2071.4196
443,389,20190222,20190305,20190228,17099,SO47281,1000.4375
444,381,20190222,20190305,20190228,19258,SO47282,1000.4375
445,373,20190222,20190305,20190228,15655,SO47283,2181.5625
446,368,20190222,20190305,20190228,13402,SO47284,2443.35
447,373,20190222,20190305,20190228,29135,SO47285,2181.5625
448,329,20190222,20190305,20190228,19944,SO47286,782.99
449,375,20190222,20190305,20190228,13280,SO47287,2181.5625
450,373,20190222,20190305,20190228,13353,SO47288,2181.5625
451,360,20190222,20190305,20190228,26297,SO47289,2049.0982
452,368,20190222,20190305,20190228,21558,SO47290,2443.35
453,371,20190223,20190306,20190301,16318,SO47291,2181.5625
454,379,20190223,20190306,20190301,13811,SO47292,2181.5625
455,385,20190223,20190306,20190301,19192,SO47293,1000.4375
456,383,20190223,20190306,20190301,18139,SO47294,1000.4375
457,387,20190223,20190306,20190301,14005,SO47295,1000.4375
458,385,20190223,20190306,20190301,14024,SO47296,1000.4375
459,377,20190223,20190306,20190301,13385,SO47297,2181.5625
460,371,20190223,20190306,20190301,13403,SO47298,2181.5625
461,369,20190223,20190306,20190301,13425,SO47299,2443.35
462,337,20190223,20190306,20190301,20717,SO47300,782.99
463,358,20190223,20190306,20190301,26292,SO47301,2049.0982
464,360,20190223,20190306,20190301,12670,SO47302,2049.0982
465,323,20190223,20190306,20190301,26029,SO47303,782.99
466,379,20190224,20190307,20190302,16272,SO47304,2181.5625
467,369,20190224,20190307,20190302,25393,SO47305,2443.35
468,369,20190224,20190307,20190302,28798,SO47306,2443.35
469,335,20190224,20190307,20190302,20711,SO47307,782.99
